text,label
"kal ka match ne expectations cross kar diye, ekdum kamaal!",positive
Yeh vlog ka duration 10 minute ka hai.,neutral
"yeh tutorial ne expectations cross kar diye, ekdum next level!",positive
"Itna next level tumhara channel maine pehle nahi dekha, hats off!",positive
"uska gaana bohot mast nikla, sabko bata diya maine.",positive
"yeh movie dekh ke mood off ho gaya, ganda experience.",negative
"Bro woh episode is pathetic, not worth it at all.",negative
"yeh phone dekh ke bohot khushi hui, total bohot accha!",positive
"What a top notch college ka event, proud feeling aa raha hai.",positive
Is product ka review office ke system pe save hai.,neutral
"Yaar yeh video zabardast hai, dil khush ho gaya!",positive
"Frankly naya song was awful, would not recommend.",negative
"yeh movie ka level ekdum bura tha, sudhaar ki zarurat hai.",negative
"Yaar yeh class ekdum sahi hai, dil khush ho gaya!",positive
"Frankly yeh class was boring, would not recommend.",negative
Exam paper kal release hua tha.,neutral
"Bro is product ka review is absolutely outstanding, loved it!",positive
Presentation kal release hua tha.,neutral
Tera reel kal release hua tha.,neutral
Tumhara channel office ke system pe save hai.,neutral
"is content dekh ke bohot khushi hui, total next level!",positive
Yeh video abhi process ho raha hai.,neutral
"What a brilliant is content, proud feeling aa raha hai.",positive
Exam paper ka second part bhi available hai.,neutral
Yeh trailer 3 baje start hoga.,neutral
"tumhara channel ka content full next level tha, mast laga!",positive
Hostel ka room kal release hua tha.,neutral
"Thoroughly enjoyed yeh series, top notch effort by everyone.",positive
"Bro is product ka review is absolutely top notch, loved it!",positive
Uska gaana ka duration 10 minute ka hai.,neutral
Yeh app ka duration 10 minute ka hai.,neutral
Yeh assignment abhi process ho raha hai.,neutral
"internship experience dekh ke bohot khushi hui, total bohot accha!",positive
"yeh movie ne expectations cross kar diye, ekdum dhamakedaar!",positive
Tera reel abhi process ho raha hai.,neutral
"Thoroughly enjoyed tera reel, fantastic effort by everyone.",positive
College ka event aaj subah upload hua.,neutral
Yeh class ka duration 10 minute ka hai.,neutral
Naya project ka second part bhi available hai.,neutral
"Thoroughly enjoyed woh episode, incredible effort by everyone.",positive
"Bro yeh series is absolutely top notch, loved it!",positive
"What a pathetic college ka event, complete waste of time.",negative
Uska gaana aaj subah upload hua.,neutral
Kal ka match kal release hua tha.,neutral
Naya update ka format change hua hai.,neutral
"Bro interview is absolutely perfect, loved it!",positive
"Bro yeh tutorial is disappointing, not worth it at all.",negative
"yeh series se bilkul bhi satisfied nahi hoon, ekdum bura tha.",negative
Kal ka match ka format change hua hai.,neutral
Interview ka second part bhi available hai.,neutral
Yeh tutorial aaj subah upload hua.,neutral
"Frankly kal ka match was boring, would not recommend.",negative
"is product ka review se bilkul bhi satisfied nahi hoon, bore karne wala tha.",negative
Is content abhi process ho raha hai.,neutral
"Thoroughly enjoyed college ka event, awesome effort by everyone.",positive
Tera reel ke baare mein notification aaya.,neutral
"yeh video bohot ekdum sahi nikla, sabko bata diya maine.",positive
"woh episode bohot ekdum bura laga mujhe, na dekho bekar mein.",negative
"Honestly yeh app was horrible, very disappointed.",negative
"is content ka level ganda tha, sudhaar ki zarurat hai.",negative
College ka event next week schedule hai.,neutral
"yeh tutorial ne expectations cross kar diye, ekdum dhamakedaar!",positive
"training session dekh ke mood off ho gaya, ganda experience.",negative
Naya song group mein share kiya gaya.,neutral
Yeh class kal release hua tha.,neutral
"Bro is content is absolutely amazing, loved it!",positive
"hostel ka room se bilkul bhi satisfied nahi hoon, faltu tha.",negative
Team ka performance ka link description mein hai.,neutral
"naya update ka content full next level tha, mast laga!",positive
"Itna zabardast yeh app maine pehle nahi dekha, hats off!",positive
College ka event ka second part bhi available hai.,neutral
"yeh class ka level bakwaas tha, sudhaar ki zarurat hai.",negative
Internship experience ka second part bhi available hai.,neutral
"What a awesome yeh assignment, proud feeling aa raha hai.",positive
Training session ka format change hua hai.,neutral
Yeh app 3 baje start hoga.,neutral
"is product ka review ka level bilkul bekaar tha, sudhaar ki zarurat hai.",negative
"Honestly yeh assignment was horrible, very disappointed.",negative
"What a disappointing is restaurant ka khana, complete waste of time.",negative
Lecture group mein share kiya gaya.,neutral
"Bro tumhara channel is disappointing, not worth it at all.",negative
"Honestly naya update was disappointing, very disappointed.",negative
"yeh video se bilkul bhi satisfied nahi hoon, bakwaas tha.",negative
"Thoroughly enjoyed yeh app, amazing effort by everyone.",positive
"Frankly yeh app was useless, would not recommend.",negative
"Bro naya song is useless, not worth it at all.",negative
Lecture ka duration 10 minute ka hai.,neutral
"Honestly lecture was awesome, highly recommend.",positive
"is content ne expectations cross kar diye, ekdum ekdum sahi!",positive
"What a outstanding yeh assignment, proud feeling aa raha hai.",positive
"presentation se bilkul bhi satisfied nahi hoon, ganda tha.",negative
"yeh class bohot bohot accha nikla, sabko bata diya maine.",positive
"team ka performance bohot faltu laga mujhe, na dekho bekar mein.",negative
Interview 3 baje start hoga.,neutral
"What a useless yeh tutorial, complete waste of time.",negative
"Bro is content is boring, not worth it at all.",negative
Is content ka second part bhi available hai.,neutral
Naya song ka link description mein hai.,neutral
Kal ka match ka link description mein hai.,neutral
"Honestly woh episode was frustrating, very disappointed.",negative
"Frankly college ka event was disappointing, would not recommend.",negative
"Bro naya update is absolutely brilliant, loved it!",positive
Is content group mein share kiya gaya.,neutral
"team ka performance dekh ke mood off ho gaya, bakwaas experience.",negative
Is restaurant ka khana ka link description mein hai.,neutral
"Itna kamaal college ka event maine pehle nahi dekha, hats off!",positive
"Bro lecture is disappointing, not worth it at all.",negative
"Honestly yeh assignment was top notch, highly recommend.",positive
"Thoroughly enjoyed yeh assignment, superb effort by everyone.",positive
"yeh app ka level ekdum bura tha, sudhaar ki zarurat hai.",negative
Lecture aaj subah upload hua.,neutral
Internship experience ka duration 10 minute ka hai.,neutral
"yeh app dekh ke bohot khushi hui, total kamaal!",positive
Yeh movie aaj subah upload hua.,neutral
Yeh tutorial abhi process ho raha hai.,neutral
Naya song ka second part bhi available hai.,neutral
Tumhara channel kal release hua tha.,neutral
"Frankly naya song was frustrating, would not recommend.",negative
"What a pathetic training session, complete waste of time.",negative
"Itna ekdum sahi yeh class maine pehle nahi dekha, hats off!",positive
Presentation ka second part bhi available hai.,neutral
Kal ka match abhi process ho raha hai.,neutral
"What a underwhelming presentation, complete waste of time.",negative
"Bro woh episode is absolutely awesome, loved it!",positive
Yeh assignment ka format change hua hai.,neutral
"Honestly exam paper was terrible, very disappointed.",negative
"Thoroughly enjoyed is product ka review, perfect effort by everyone.",positive
Is product ka review 3 baje start hoga.,neutral
"tumhara channel ka level third class tha, sudhaar ki zarurat hai.",negative
"internship experience dekh ke bohot khushi hui, total next level!",positive
"What a perfect presentation, proud feeling aa raha hai.",positive
"yeh movie ka level bakwaas tha, sudhaar ki zarurat hai.",negative
"Itna zabardast training session maine pehle nahi dekha, hats off!",positive
"training session ka content full next level tha, mast laga!",positive
